OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
00-0000,All Occupations,total,139099570,0.1,27.07,56310,0.1,10.97,13.95,20.17,32.41,50.99,22810,29020,41950,67410,106050,,
11-0000,Management Occupations,major,7947300,0.2,60.81,126480,0.2,24.84,35.7,52.77,76.71,,51670,74250,109760,159550,0,,
11-1000,Top Executives,minor,2601070,0.4,62.46,129920,0.2,21.41,32.57,51.05,80.73,,44530,67740,106180,167930,0,,
11-1010,Chief Executives,broad,202360,1.0,95.12,197840,0.5,30.18,55.06,89.4,,,62780,114530,185950,0,0,,
11-1011,Chief Executives,detailed,202360,1.0,95.12,197840,0.5,30.18,55.06,89.4,,,62780,114530,185950,0,0,,
11-1020,General and Operations Managers,broad,2347420,0.4,60.45,125740,0.2,22.04,32.43,49.83,77.49,,45850,67450,103650,161190,0,,
11-1021,General and Operations Managers,detailed,2347420,0.4,60.45,125740,0.2,22.04,32.43,49.83,77.49,,45850,67450,103650,161190,0,,
11-1030,Legislators,broad,51290,2.5,,53560,1.6,,,,,,18120,19790,33200,83780,105100,True,
11-1031,Legislators,detailed,51290,2.5,,53560,1.6,,,,,,18120,19790,33200,83780,105100,True,
11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",minor,763970,0.6,71.51,148740,0.3,32.44,44.97,64.48,89.26,,67480,93540,134120,185660,0,,
11-2010,Advertising and Promotions Managers,broad,22490,3.2,70.94,147560,1.4,33.14,44.19,64.16,87.4,,68940,91910,133460,181800,0,,
11-2011,Advertising and Promotions Managers,detailed,22490,3.2,70.94,147560,1.4,,44.19,64.16,87.4,,68940,91910,133460,181800,0,,
11-2020,Marketing and Sales Managers,broad,660380,0.6,72.31,150400,0.3,32.47,45.59,65.55,90.42,,67540,94830,136350,188080,0,,
11-2021,Marketing Managers,detailed,270200,1.0,74.27,154470,0.4,35.88,48.89,68.35,92.19,,74620,101690,142170,191760,0,,
11-2022,Sales Managers,detailed,390170,0.7,70.95,147580,0.3,30.37,43.14,63.6,89.04,,63170,89720,132290,185200,0,,
